Title,Author,Rating
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"4.34 avg rating — 8,824,689 ratings"
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"4.50 avg rating — 3,436,751 ratings"
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,322,553 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,230,873 ratings"
The Book Thief,Markus Zusak,"4.39 avg rating — 2,604,538 ratings"
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,"3.65 avg rating — 6,676,802 ratings"
Animal Farm,George Orwell,"3.99 avg rating — 3,960,693 ratings"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"4.61 avg rating — 135,081 ratings"
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"4.27 avg rating — 658,352 ratings"
The Fault in Our Stars,John Green,"4.13 avg rating — 5,223,212 ratings"
The Picture of Dorian Gray,Oscar Wilde,"4.13 avg rating — 1,573,311 ratings"
The Giving Tree,Shel Silverstein,"4.38 avg rating — 1,143,021 ratings"
Wuthering Heights,Emily Brontë,"3.89 avg rating — 1,835,106 ratings"
Gone with the Wind,Margaret Mitchell,"4.31 avg rating — 1,214,565 ratings"
The Perks of Being a Wallflower,Stephen Chbosky,"4.23 avg rating — 1,824,781 ratings"
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"4.31 avg rating — 3,081,291 ratings"
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,116,214 ratings"
The Little Prince,Antoine de Saint-Exupéry,"4.33 avg rating — 2,149,514 ratings"
The Great Gatsby,F. Scott Fitzgerald,"3.93 avg rating — 5,316,933 ratings"
"The da Vinci Code (Robert Langdon, #2)",Dan       Brown,"3.92 avg rating — 2,375,622 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.27 avg rating — 924,017 ratings"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"4.06 avg rating — 570,276 ratings"
"Divergent (Divergent, #1)",Veronica Roth,"4.14 avg rating — 4,036,525 ratings"
Memoirs of a Geisha,Arthur Golden,"4.15 avg rating — 2,017,093 ratings"
Les Misérables,Victor Hugo,"4.20 avg rating — 803,973 ratings"
The Alchemist,Paulo Coelho,"3.91 avg rating — 3,120,858 ratings"
Lord of the Flies,William Golding,"3.69 avg rating — 2,943,312 ratings"
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"4.31 avg rating — 997,076 ratings"
Romeo and Juliet,William Shakespeare,"3.74 avg rating — 2,633,344 ratings"
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"4.07 avg rating — 2,019,488 ratings"
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"4.23 avg rating — 1,866,207 ratings"
The Help,Kathryn Stockett,"4.47 avg rating — 2,803,206 ratings"
Dracula,Bram Stoker,"4.02 avg rating — 1,294,776 ratings"
Charlotte’s Web,E.B. White,"4.20 avg rating — 1,867,682 ratings"
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"4.31 avg rating — 1,389,359 ratings"
Of Mice and Men,John Steinbeck,"3.89 avg rating — 2,583,708 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,465,085 ratings"
The Catcher in the Rye,J.D. Salinger,"3.80 avg rating — 3,572,958 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 986,499 ratings"
Brave New World,Aldous Huxley,"3.99 avg rating — 1,883,075 ratings"
A Thousand Splendid Suns,Khaled Hosseini,"4.44 avg rating — 1,556,328 ratings"
The Time Traveler’s Wife,Audrey Niffenegger,"3.99 avg rating — 1,797,465 ratings"
The Princess Bride,William Goldman,"4.27 avg rating — 907,038 ratings"
The Secret Garden,Frances Hodgson Burnett,"4.16 avg rating — 1,190,567 ratings"
The Outsiders,S.E. Hinton,"4.13 avg rating — 1,374,819 ratings"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"4.44 avg rating — 2,522,002 ratings"
Little Women,Louisa May Alcott,"4.16 avg rating — 2,263,303 ratings"
1984,George Orwell,"4.19 avg rating — 4,702,080 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"3.98 avg rating — 1,214,472 ratings"
The Odyssey,Homer,"3.81 avg rating — 1,098,333 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,765,277 ratings"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"3.87 avg rating — 1,626,278 ratings"
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 10,231,895 ratings"
The Kite Runner,Khaled Hosseini,"4.34 avg rating — 3,188,682 ratings"
"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,526,494 ratings"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.14 avg rating — 2,087,241 ratings"
The Lovely Bones,Alice Sebold,"3.85 avg rating — 2,372,579 ratings"
Where the Wild Things Are,Maurice Sendak,"4.25 avg rating — 1,012,260 ratings"
The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,274,031 ratings"
Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 786,112 ratings"
Life of Pi,Yann Martel,"3.94 avg rating — 1,642,375 ratings"
A Tale of Two Cities,Charles Dickens,"3.87 avg rating — 956,738 ratings"
"Dune (Dune, #1)",Frank Herbert,"4.27 avg rating — 1,412,330 ratings"
Lolita,Vladimir Nabokov,"3.88 avg rating — 862,277 ratings"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,272,658 ratings"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,383,326 ratings"
Water for Elephants,Sara Gruen,"4.11 avg rating — 1,629,691 ratings"
The Bell Jar,Sylvia Plath,"4.06 avg rating — 997,121 ratings"
Matilda,Roald Dahl,"4.33 avg rating — 974,421 ratings"
The Stand,Stephen King,"4.35 avg rating — 770,700 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 837,521 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 303,515 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.34 avg rating — 772,080 ratings"
Rebecca,Daphne du Maurier,"4.24 avg rating — 640,131 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.08 avg rating — 484,358 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.39 avg rating — 2,839,804 ratings"
Great Expectations,Charles Dickens,"3.79 avg rating — 812,362 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,070,181 ratings"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"4.17 avg rating — 3,218,672 ratings"
The Color Purple,Alice Walker,"4.27 avg rating — 696,882 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 739,114 ratings"
Anna Karenina,Leo Tolstoy,"4.09 avg rating — 859,243 ratings"
My Sister’s Keeper,Jodi Picoult,"4.10 avg rating — 1,228,193 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.37 avg rating — 339,189 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 472,080 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 719,856 ratings"
And Then There Were None,Agatha Christie,"4.28 avg rating — 1,389,459 ratings"
The Road,Cormac McCarthy,"3.99 avg rating — 921,196 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,230,873 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.02 avg rating — 1,539,320 ratings"
It,Stephen King,"4.24 avg rating — 1,132,804 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.11 avg rating — 650,244 ratings"
"The Shining (The Shining, #1)",Stephen King,"4.27 avg rating — 1,516,719 ratings"
Siddhartha,Hermann Hesse,"4.07 avg rating — 783,714 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 633,794 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.39 avg rating — 251,581 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"4.02 avg rating — 597,243 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 276,334 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.80 avg rating — 1,169,967 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.10 avg rating — 750,929 ratings"
